rank,window_id,a,b,on,off,duration
1,X013337,Satellite137,Satellite2608,239.402,5918.547,5679.1449999999995
2,X023053,Satellite158,Satellite2810,4858.503,10286.298,5427.795000000001
3,X010327,Satellite131,Satellite2603,9787.404,15414.183,5626.779
4,X011330,Satellite133,Satellite2606,14233.626,19845.424,5611.797999999999
5,X016359,Satellite144,Satellite2708,18941.858,24634.557,5692.6990000000005
6,X023038,Satellite158,Satellite2803,21938.624,27391.5,5452.876
7,X018340,Satellite148,Satellite2704,27821.69,33508.599,5686.909000000003
8,X014873,Satellite141,Satellite2707,32260.001,37946.455,5686.4540000000015
9,X015373,Satellite142,Satellite2709,37331.439,43019.178,5687.739000000001
